MANDT [C(00006)]`SPRAS [C(00002)]`KVEWE [C(00002)]`KAPPL [C(00004)]`KALSM [C(00012)]`STUNR [C(00006)]`ZAEHK [C(00006)]`VTEXT [C(00060)]
400`  E`  A`  `  A61007`  200`  000`
400`  E`  A`  KA`  1310PP`  209`  000`  Production overhead
400`  E`  A`  KA`  1310PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  1310PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  1310PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  1410PC`  100`  000`  Material
400`  E`  A`  KA`  1410PC`  109`  000`  Material overhead
400`  E`  A`  KA`  1410PC`  200`  000`  Production
400`  E`  A`  KA`  1410PC`  209`  000`  Production overhead
400`  E`  A`  KA`  1410PC`  300`  000`  Production overhead
400`  E`  A`  KA`  1410PP`  100`  000`  Material
400`  E`  A`  KA`  1410PP`  109`  000`  Material overhead
400`  E`  A`  KA`  1410PP`  200`  000`  Production
400`  E`  A`  KA`  1410PP`  209`  000`  Production overhead
400`  E`  A`  KA`  1410PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  1410PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  1410PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  1510PC`  100`  000`  Material
400`  E`  A`  KA`  1510PC`  109`  000`  Material overhead
400`  E`  A`  KA`  1510PC`  200`  000`  Production
400`  E`  A`  KA`  1510PC`  209`  000`  Production overhead
400`  E`  A`  KA`  1510PC`  300`  000`  Production overhead
400`  E`  A`  KA`  1510PP`  100`  000`  Material
400`  E`  A`  KA`  1510PP`  109`  000`  Material overhead
400`  E`  A`  KA`  1510PP`  200`  000`  Production
400`  E`  A`  KA`  1510PP`  209`  000`  Production overhead
400`  E`  A`  KA`  1510PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  1510PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  1510PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  1610PC`  100`  000`  Material
400`  E`  A`  KA`  1610PC`  109`  000`  Material overhead
400`  E`  A`  KA`  1610PC`  200`  000`  Production
400`  E`  A`  KA`  1610PC`  209`  000`  Production overhead
400`  E`  A`  KA`  1610PC`  300`  000`  Production overhead
400`  E`  A`  KA`  1610PP`  100`  000`  Material
400`  E`  A`  KA`  1610PP`  109`  000`  Material overhead
400`  E`  A`  KA`  1610PP`  200`  000`  Production
400`  E`  A`  KA`  1610PP`  209`  000`  Production overhead
400`  E`  A`  KA`  1610PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  1610PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  1610PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  1710PC`  100`  000`  Material
400`  E`  A`  KA`  1710PC`  109`  000`  Material overhead
400`  E`  A`  KA`  1710PC`  200`  000`  Production
400`  E`  A`  KA`  1710PC`  209`  000`  Production overhead
400`  E`  A`  KA`  1710PC`  300`  000`  Production overhead
400`  E`  A`  KA`  1710PP`  100`  000`  Material
400`  E`  A`  KA`  1710PP`  109`  000`  Material overhead
400`  E`  A`  KA`  1710PP`  200`  000`  Production
400`  E`  A`  KA`  1710PP`  209`  000`  Production overhead
400`  E`  A`  KA`  1710PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  1710PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  1710PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  1810PC`  100`  000`  Material
400`  E`  A`  KA`  1810PC`  109`  000`  Material overhead
400`  E`  A`  KA`  1810PC`  200`  000`  Production
400`  E`  A`  KA`  1810PC`  209`  000`  Production overhead
400`  E`  A`  KA`  1810PC`  300`  000`  Production overhead
400`  E`  A`  KA`  1810PP`  100`  000`  Material
400`  E`  A`  KA`  1810PP`  109`  000`  Material overhead
400`  E`  A`  KA`  1810PP`  200`  000`  Production
400`  E`  A`  KA`  1810PP`  209`  000`  Production overhead
400`  E`  A`  KA`  1810PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  1810PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  1810PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  1910PC`  100`  000`  Material
400`  E`  A`  KA`  1910PC`  109`  000`  Material overhead
400`  E`  A`  KA`  1910PC`  200`  000`  Production
400`  E`  A`  KA`  1910PC`  209`  000`  Production overhead
400`  E`  A`  KA`  1910PC`  300`  000`  Production overhead
400`  E`  A`  KA`  1910PP`  100`  000`  Material
400`  E`  A`  KA`  1910PP`  109`  000`  Material overhead
400`  E`  A`  KA`  1910PP`  200`  000`  Production
400`  E`  A`  KA`  1910PP`  209`  000`  Production overhead
400`  E`  A`  KA`  1910PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  1910PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  1910PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  2010PC`  100`  000`  Material
400`  E`  A`  KA`  2010PC`  109`  000`  Material overhead
400`  E`  A`  KA`  2010PC`  200`  000`  Production
400`  E`  A`  KA`  2010PC`  209`  000`  Production overhead
400`  E`  A`  KA`  2010PC`  300`  000`  Production overhead
400`  E`  A`  KA`  2010PP`  100`  000`  Material
400`  E`  A`  KA`  2010PP`  109`  000`  Material overhead
400`  E`  A`  KA`  2010PP`  200`  000`  Production
400`  E`  A`  KA`  2010PP`  209`  000`  Production overhead
400`  E`  A`  KA`  2010PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  2010PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  2010PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  2110PC`  100`  000`  Material
400`  E`  A`  KA`  2110PC`  109`  000`  Material overhead
400`  E`  A`  KA`  2110PC`  200`  000`  Production
400`  E`  A`  KA`  2110PC`  209`  000`  Production overhead
400`  E`  A`  KA`  2110PC`  300`  000`  Production overhead
400`  E`  A`  KA`  2110PP`  100`  000`  Material
400`  E`  A`  KA`  2110PP`  109`  000`  Material overhead
400`  E`  A`  KA`  2110PP`  200`  000`  Production
400`  E`  A`  KA`  2110PP`  209`  000`  Production overhead
400`  E`  A`  KA`  2110PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  2110PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  2110PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  2210PC`  100`  000`  Material
400`  E`  A`  KA`  2210PC`  109`  000`  Material overhead
400`  E`  A`  KA`  2210PC`  200`  000`  Production
400`  E`  A`  KA`  2210PC`  209`  000`  Production overhead
400`  E`  A`  KA`  2210PC`  300`  000`  Production overhead
400`  E`  A`  KA`  2210PP`  100`  000`  Material
400`  E`  A`  KA`  2210PP`  109`  000`  Material overhead
400`  E`  A`  KA`  2210PP`  200`  000`  Production
400`  E`  A`  KA`  2210PP`  209`  000`  Production overhead
400`  E`  A`  KA`  2210PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  2210PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  2210PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  2310PC`  100`  000`  Material
400`  E`  A`  KA`  2310PC`  109`  000`  Material overhead
400`  E`  A`  KA`  2310PC`  200`  000`  Production
400`  E`  A`  KA`  2310PC`  209`  000`  Production overhead
400`  E`  A`  KA`  2310PC`  300`  000`  Production overhead
400`  E`  A`  KA`  2310PP`  100`  000`  Material
400`  E`  A`  KA`  2310PP`  109`  000`  Material overhead
400`  E`  A`  KA`  2310PP`  200`  000`  Production
400`  E`  A`  KA`  2310PP`  209`  000`  Production overhead
400`  E`  A`  KA`  2310PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  2310PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  2310PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  2410PC`  100`  000`  Material
400`  E`  A`  KA`  2410PC`  109`  000`  Material overhead
400`  E`  A`  KA`  2410PC`  200`  000`  Production
400`  E`  A`  KA`  2410PC`  209`  000`  Production overhead
400`  E`  A`  KA`  2410PC`  300`  000`  Production overhead
400`  E`  A`  KA`  2410PP`  100`  000`  Material
400`  E`  A`  KA`  2410PP`  109`  000`  Material overhead
400`  E`  A`  KA`  2410PP`  200`  000`  Production
400`  E`  A`  KA`  2410PP`  209`  000`  Production overhead
400`  E`  A`  KA`  2410PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  2410PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  2410PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  2510PC`  100`  000`  Material
400`  E`  A`  KA`  2510PC`  109`  000`  Material overhead
400`  E`  A`  KA`  2510PC`  200`  000`  Production
400`  E`  A`  KA`  2510PC`  209`  000`  Production overhead
400`  E`  A`  KA`  2510PC`  300`  000`  Production overhead
400`  E`  A`  KA`  2510PP`  100`  000`  Material
400`  E`  A`  KA`  2510PP`  109`  000`  Material overhead
400`  E`  A`  KA`  2510PP`  200`  000`  Production
400`  E`  A`  KA`  2510PP`  209`  000`  Production overhead
400`  E`  A`  KA`  2510PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  2510PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  2510PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  2610PC`  100`  000`  Material
400`  E`  A`  KA`  2610PC`  109`  000`  Material overhead
400`  E`  A`  KA`  2610PC`  200`  000`  Production
400`  E`  A`  KA`  2610PC`  209`  000`  Production overhead
400`  E`  A`  KA`  2610PC`  300`  000`  Production overhead
400`  E`  A`  KA`  2610PP`  100`  000`  Material
400`  E`  A`  KA`  2610PP`  109`  000`  Material overhead
400`  E`  A`  KA`  2610PP`  200`  000`  Production
400`  E`  A`  KA`  2610PP`  209`  000`  Production overhead
400`  E`  A`  KA`  2610PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  2610PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  2610PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  2810PC`  100`  000`  Material
400`  E`  A`  KA`  2810PC`  109`  000`  Material overhead
400`  E`  A`  KA`  2810PC`  200`  000`  Production
400`  E`  A`  KA`  2810PC`  209`  000`  Production overhead
400`  E`  A`  KA`  2810PC`  300`  000`  Production overhead
400`  E`  A`  KA`  2810PP`  100`  000`  Material
400`  E`  A`  KA`  2810PP`  109`  000`  Material overhead
400`  E`  A`  KA`  2810PP`  200`  000`  Production
400`  E`  A`  KA`  2810PP`  209`  000`  Production overhead
400`  E`  A`  KA`  2810PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  2810PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  2810PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  2910PC`  100`  000`  Material
400`  E`  A`  KA`  2910PC`  109`  000`  Material overhead
400`  E`  A`  KA`  2910PC`  200`  000`  Production
400`  E`  A`  KA`  2910PC`  209`  000`  Production overhead
400`  E`  A`  KA`  2910PC`  300`  000`  Production overhead
400`  E`  A`  KA`  2910PP`  100`  000`  Material
400`  E`  A`  KA`  2910PP`  109`  000`  Material overhead
400`  E`  A`  KA`  2910PP`  200`  000`  Production
400`  E`  A`  KA`  2910PP`  209`  000`  Production overhead
400`  E`  A`  KA`  2910PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  2910PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  2910PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  3010PC`  100`  000`  Material
400`  E`  A`  KA`  3010PC`  109`  000`  Material overhead
400`  E`  A`  KA`  3010PC`  200`  000`  Production
400`  E`  A`  KA`  3010PC`  209`  000`  Production overhead
400`  E`  A`  KA`  3010PC`  300`  000`  Production overhead
400`  E`  A`  KA`  3010PP`  100`  000`  Material
400`  E`  A`  KA`  3010PP`  109`  000`  Material overhead
400`  E`  A`  KA`  3010PP`  200`  000`  Production
400`  E`  A`  KA`  3010PP`  209`  000`  Production overhead
400`  E`  A`  KA`  3010PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  3010PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  3010PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  3210PC`  100`  000`  Material
400`  E`  A`  KA`  3210PC`  109`  000`  Material overhead
400`  E`  A`  KA`  3210PC`  200`  000`  Production
400`  E`  A`  KA`  3210PC`  209`  000`  Production overhead
400`  E`  A`  KA`  3210PC`  300`  000`  Production overhead
400`  E`  A`  KA`  3210PP`  100`  000`  Material
400`  E`  A`  KA`  3210PP`  109`  000`  Material overhead
400`  E`  A`  KA`  3210PP`  200`  000`  Production
400`  E`  A`  KA`  3210PP`  209`  000`  Production overhead
400`  E`  A`  KA`  3210PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  3210PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  3210PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  3310PC`  100`  000`  Material
400`  E`  A`  KA`  3310PC`  109`  000`  Material overhead
400`  E`  A`  KA`  3310PC`  200`  000`  Production
400`  E`  A`  KA`  3310PC`  209`  000`  Production overhead
400`  E`  A`  KA`  3310PC`  300`  000`  Production overhead
400`  E`  A`  KA`  3310PP`  100`  000`  Material
400`  E`  A`  KA`  3310PP`  109`  000`  Material overhead
400`  E`  A`  KA`  3310PP`  200`  000`  Production
400`  E`  A`  KA`  3310PP`  209`  000`  Production overhead
400`  E`  A`  KA`  3310PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  3310PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  3310PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  3510PC`  100`  000`  Material
400`  E`  A`  KA`  3510PC`  109`  000`  Material overhead
400`  E`  A`  KA`  3510PC`  200`  000`  Production
400`  E`  A`  KA`  3510PC`  209`  000`  Production overhead
400`  E`  A`  KA`  3510PC`  300`  000`  Production overhead
400`  E`  A`  KA`  3510PP`  100`  000`  Material
400`  E`  A`  KA`  3510PP`  109`  000`  Material overhead
400`  E`  A`  KA`  3510PP`  200`  000`  Production
400`  E`  A`  KA`  3510PP`  209`  000`  Production overhead
400`  E`  A`  KA`  3510PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  3510PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  3510PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  3610PC`  100`  000`  Material
400`  E`  A`  KA`  3610PC`  109`  000`  Material overhead
400`  E`  A`  KA`  3610PC`  200`  000`  Production
400`  E`  A`  KA`  3610PC`  209`  000`  Production overhead
400`  E`  A`  KA`  3610PC`  300`  000`  Production overhead
400`  E`  A`  KA`  3610PP`  100`  000`  Material
400`  E`  A`  KA`  3610PP`  109`  000`  Material overhead
400`  E`  A`  KA`  3610PP`  200`  000`  Production
400`  E`  A`  KA`  3610PP`  209`  000`  Production overhead
400`  E`  A`  KA`  3610PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  3610PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  3610PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  3710PC`  100`  000`  Material
400`  E`  A`  KA`  3710PC`  109`  000`  Material overhead
400`  E`  A`  KA`  3710PC`  200`  000`  Production
400`  E`  A`  KA`  3710PC`  209`  000`  Production overhead
400`  E`  A`  KA`  3710PC`  300`  000`  Production overhead
400`  E`  A`  KA`  3710PP`  100`  000`  Material
400`  E`  A`  KA`  3710PP`  109`  000`  Material overhead
400`  E`  A`  KA`  3710PP`  200`  000`  Production
400`  E`  A`  KA`  3710PP`  209`  000`  Production overhead
400`  E`  A`  KA`  3710PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  3710PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  3710PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  3910PC`  100`  000`  Material
400`  E`  A`  KA`  3910PC`  109`  000`  Material overhead
400`  E`  A`  KA`  3910PC`  200`  000`  Production
400`  E`  A`  KA`  3910PC`  209`  000`  Production overhead
400`  E`  A`  KA`  3910PC`  300`  000`  Production overhead
400`  E`  A`  KA`  3910PP`  100`  000`  Material
400`  E`  A`  KA`  3910PP`  109`  000`  Material overhead
400`  E`  A`  KA`  3910PP`  200`  000`  Production
400`  E`  A`  KA`  3910PP`  209`  000`  Production overhead
400`  E`  A`  KA`  3910PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  3910PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  3910PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  4210PC`  100`  000`  Material
400`  E`  A`  KA`  4210PC`  109`  000`  Material overhead
400`  E`  A`  KA`  4210PC`  200`  000`  Production
400`  E`  A`  KA`  4210PC`  209`  000`  Production overhead
400`  E`  A`  KA`  4210PC`  300`  000`  Production overhead
400`  E`  A`  KA`  4210PP`  100`  000`  Material
400`  E`  A`  KA`  4210PP`  109`  000`  Material overhead
400`  E`  A`  KA`  4210PP`  200`  000`  Production
400`  E`  A`  KA`  4210PP`  209`  000`  Production overhead
400`  E`  A`  KA`  4210PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  4210PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  4210PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  4310PC`  100`  000`  Material
400`  E`  A`  KA`  4310PC`  109`  000`  Material overhead
400`  E`  A`  KA`  4310PC`  200`  000`  Production
400`  E`  A`  KA`  4310PC`  209`  000`  Production overhead
400`  E`  A`  KA`  4310PC`  300`  000`  Production overhead
400`  E`  A`  KA`  4310PP`  100`  000`  Material
400`  E`  A`  KA`  4310PP`  109`  000`  Material overhead
400`  E`  A`  KA`  4310PP`  200`  000`  Production
400`  E`  A`  KA`  4310PP`  209`  000`  Production overhead
400`  E`  A`  KA`  4310PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  4310PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  4310PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  4410PC`  100`  000`  Material
400`  E`  A`  KA`  4410PC`  109`  000`  Material overhead
400`  E`  A`  KA`  4410PC`  200`  000`  Production
400`  E`  A`  KA`  4410PC`  209`  000`  Production overhead
400`  E`  A`  KA`  4410PC`  300`  000`  Production overhead
400`  E`  A`  KA`  4410PP`  100`  000`  Material
400`  E`  A`  KA`  4410PP`  109`  000`  Material overhead
400`  E`  A`  KA`  4410PP`  200`  000`  Production
400`  E`  A`  KA`  4410PP`  209`  000`  Production overhead
400`  E`  A`  KA`  4410PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  4410PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  4410PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  4510PC`  100`  000`  Material
400`  E`  A`  KA`  4510PC`  109`  000`  Material overhead
400`  E`  A`  KA`  4510PC`  200`  000`  Production
400`  E`  A`  KA`  4510PC`  209`  000`  Production overhead
400`  E`  A`  KA`  4510PC`  300`  000`  Production overhead
400`  E`  A`  KA`  4510PP`  100`  000`  Material
400`  E`  A`  KA`  4510PP`  109`  000`  Material overhead
400`  E`  A`  KA`  4510PP`  200`  000`  Production
400`  E`  A`  KA`  4510PP`  209`  000`  Production overhead
400`  E`  A`  KA`  4510PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  4510PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  4510PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  5110PC`  100`  000`  Material
400`  E`  A`  KA`  5110PC`  109`  000`  Material overhead
400`  E`  A`  KA`  5110PC`  200`  000`  Production
400`  E`  A`  KA`  5110PC`  209`  000`  Production overhead
400`  E`  A`  KA`  5110PC`  300`  000`  Production overhead
400`  E`  A`  KA`  5110PP`  100`  000`  Material
400`  E`  A`  KA`  5110PP`  109`  000`  Material overhead
400`  E`  A`  KA`  5110PP`  200`  000`  Production
400`  E`  A`  KA`  5110PP`  209`  000`  Production overhead
400`  E`  A`  KA`  5110PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  5110PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  5110PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  5410PC`  100`  000`  Material
400`  E`  A`  KA`  5410PC`  109`  000`  Material overhead
400`  E`  A`  KA`  5410PC`  200`  000`  Production
400`  E`  A`  KA`  5410PC`  209`  000`  Production overhead
400`  E`  A`  KA`  5410PC`  300`  000`  Production overhead
400`  E`  A`  KA`  5410PP`  100`  000`  Material
400`  E`  A`  KA`  5410PP`  109`  000`  Material overhead
400`  E`  A`  KA`  5410PP`  200`  000`  Production
400`  E`  A`  KA`  5410PP`  209`  000`  Production overhead
400`  E`  A`  KA`  5410PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  5410PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  5410PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  5510PC`  100`  000`  Material
400`  E`  A`  KA`  5510PC`  109`  000`  Material overhead
400`  E`  A`  KA`  5510PC`  200`  000`  Production
400`  E`  A`  KA`  5510PC`  209`  000`  Production overhead
400`  E`  A`  KA`  5510PC`  300`  000`  Production overhead
400`  E`  A`  KA`  5510PP`  100`  000`  Material
400`  E`  A`  KA`  5510PP`  109`  000`  Material overhead
400`  E`  A`  KA`  5510PP`  200`  000`  Production
400`  E`  A`  KA`  5510PP`  209`  000`  Production overhead
400`  E`  A`  KA`  5510PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  5510PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  5510PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  5810PC`  100`  000`  Material
400`  E`  A`  KA`  5810PC`  109`  000`  Material overhead
400`  E`  A`  KA`  5810PC`  200`  000`  Production
400`  E`  A`  KA`  5810PC`  209`  000`  Production overhead
400`  E`  A`  KA`  5810PC`  300`  000`  Production overhead
400`  E`  A`  KA`  5810PP`  100`  000`  Material
400`  E`  A`  KA`  5810PP`  109`  000`  Material overhead
400`  E`  A`  KA`  5810PP`  200`  000`  Production
400`  E`  A`  KA`  5810PP`  209`  000`  Production overhead
400`  E`  A`  KA`  5810PP`  300`  000`  Costs of goods manufactured
400`  E`  A`  KA`  5810PP`  305`  000`  Admininistration ovh
400`  E`  A`  KA`  5810PP`  306`  000`  Sales overhead
400`  E`  A`  KA`  5910PC`  100`  000`  Material
400`  E`  A`  KA`  5910PC`  109`  000`  Material overhead
400`  E`  A`  KA`  5910PC`  200`  000`  Production
400`  E`  A`  KA`  5910PC`  209`  000`  Production overhead
